name,category,state,lga,coords[]+,coords[]+,latitude+,longitude+,description
LA0101043,pollbooth,LA,1,6.617347035,3.323396534,6.617347035,3.323396534,"THE PU IS LOCATED AT OPEN SPACE IN FRONT OF HOUSE 8 OF OLOKO STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101044,pollbooth,LA,1,6.616599618,3.323423099,6.616599618,3.323423099,"THE PU IS LOCATED AT HOUSE 9  OREMEJI STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101045,pollbooth,LA,1,6.616521052,3.323370602,6.616521052,3.323370602,"THE PU IS LOCATED AT HOUSE 7 OF OREMEJI STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101046,pollbooth,LA,1,6.617661227,3.32284736,6.617661227,3.32284736,"THE PU IS LOCATED AT HOUSE 13 OF BALOGUN STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101047,pollbooth,LA,1,6.619090151,3.32573882,6.619090151,3.32573882,"THE PU IS LOCATED AT HOUSE 1 OF IYALODE STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0101048,pollbooth,LA,1,6.619056554,3.324116212,6.619056554,3.324116212,"THE PU IS LOCATED AT HOUSE 13 OPP. HOUSE 8 OF MOSHALASHI STREET, ISALE-OJA IN AGEGE LAGOS STATE."
LA0102001,pollbooth,LA,1,6.610547,3.316509856,6.610547,3.316509856,"THE PU IS LOCATED AT HOUSE 19 OF OGUNJOBI STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102002,pollbooth,LA,1,6.609882147,3.315926735,6.609882147,3.315926735,"THE PU IS LOCATED AT HOUSE 20 OF ADEYO-OLA STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102003,pollbooth,LA,1,6.608629287,3.316049631,6.608629287,3.316049631,"THE PU IS LOCATED AT HOUSE 18 OF SUBUOLA STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102004,pollbooth,LA,1,6.60916491,3.327757903,6.60916491,3.327757903,"THE PU IS LOCATED AT HOUSE 24 OF SULE STREET, MANGORO IN AGEGE LAGOS STATE."
LA0102005,pollbooth,LA,1,6.608580849,3.325797213,6.608580849,3.325797213,"THE PU IS LOCATED AT OPEN SPACE AT THE END OF SONAYA STREET BY HOUSE 6, DOPEMU IN AGEGE LAGOS STATE."
LA0102006,pollbooth,LA,1,6.608540854,3.327638708,6.608540854,3.327638708,"THE PU IS LOCATED AT HOUSE 16 OF ARIGIDI STREET, MANGORO IN AGEGE LAGOS STATE."
LA0102007,pollbooth,LA,1,6.608637038,3.328815445,6.608637038,3.328815445,"THE PU IS LOCATED AT HOUSE 1 OF ARIGIDI STREET, MANGORO IN AGEGE LAGOS STATE."
LA0102008,pollbooth,LA,1,6.609754963,3.318237224,6.609754963,3.318237224,"THE PU IS LOCATED AT HOUSE 30 OF ADEBISI-AWOSOGA STREET, BESIDE WHITE CHAPEL HOSPITAL, DOPEMU IN AGEGE LAGOS STATE."
LA0102009,pollbooth,LA,1,6.611347427,3.314571141,6.611347427,3.314571141,"THE PU IS LOCATED AT HOUSE 12 OF AKINSOLA STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102010,pollbooth,LA,1,6.609609925,3.314762726,6.609609925,3.314762726,"THE PU IS LOCATED AT HOUSE 23 OF OLUSOLA STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102011,pollbooth,LA,1,6.609243541,3.315707773,6.609243541,3.315707773,"THE PU IS LOCATED AT A SHOP AT NO 28 OF ADEBIYI-AYOPO STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102012,pollbooth,LA,1,6.611918533,3.315006179,6.611918533,3.315006179,"THE PU IS LOCATED AT HOUSE 25 OF SHITTA STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102013,pollbooth,LA,1,6.61196083,3.315149891,6.61196083,3.315149891,"THE PU IS LOCATED AT HOUSE 23 OF SHITTA STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102014,pollbooth,LA,1,6.612704166,3.314924874,6.612704166,3.314924874,"THE PU IS LOCATED AT HOUSE 29 OF SURULERE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102015,pollbooth,LA,1,6.612666895,3.315161102,6.612666895,3.315161102,"THE PU IS LOCATED AT HOUSE 25 OF SURULERE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102016,pollbooth,LA,1,6.610260141,3.314514254,6.610260141,3.314514254,"THE PU IS LOCATED AT HOUSE 14 OF OLUSOLA STREET/OJUALALE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102017,pollbooth,LA,1,6.606457419,3.316657327,6.606457419,3.316657327,"THE PU IS LOCATED AT HOUSE 1 OF UNION ROAD,  DOPEMU IN AGEGE LAGOS STATE."
LA0102018,pollbooth,LA,1,6.606603588,3.31658689,6.606603588,3.31658689,"THE PU IS LOCATED AT HOUSE 3 OF UNION ROAD, DOPEMU IN AGEGE LAGOS STATE."
LA0102019,pollbooth,LA,1,6.60796392,3.315766527,6.60796392,3.315766527,"THE PU IS LOCATED AT HOUSE 2 OF BULURO STREET BY TIAMIYU STREET JUNCTION, DOPEMU IN AGEGE LAGOS STATE."
LA0102020,pollbooth,LA,1,6.607048303,3.315509361,6.607048303,3.315509361,"THE PU IS LOCATED AT HOUSE 11 OF ALFA-YUSUF STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102021,pollbooth,LA,1,6.609029764,3.313579406,6.609029764,3.313579406,"THE PU IS LOCATED AT HOUSE 10 OF IFELODUN STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102022,pollbooth,LA,1,6.607668288,3.31352998,6.607668288,3.31352998,"THE PU IS LOCATED AT A GLASS SHOP IN FRONT OF HOUSE 22 OF BELLO-AJARE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102023,pollbooth,LA,1,6.608255371,3.313277761,6.608255371,3.313277761,"THE PU IS LOCATED AT ALUMINIUM SHOP IN FRONT OF HOUSE 20 OF SALAKO STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102024,pollbooth,LA,1,6.60995156,3.313738117,6.60995156,3.313738117,"THE PU IS LOCATED AT HOUSE 2 OF OJUALALE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102025,pollbooth,LA,1,6.610823429,3.313251307,6.610823429,3.313251307,"THE PU IS LOCATED AT HOUSE 15 OF OLORUNLOGBON STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102026,pollbooth,LA,1,6.610935476,3.313291295,6.610935476,3.313291295,"THE PU IS LOC ATED AT A SHOP IN FRONT OF FADE DAY CARE, NURSERY & PRY. SCH, AT OLORUNLOGBON STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102027,pollbooth,LA,1,6.611587976,3.316624205,6.611587976,3.316624205,"THE PU IS LOCATED AT HOUSE 6 OF OGABAMBI STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0102028,pollbooth,LA,1,6.610384985,3.317293985,6.610384985,3.317293985,"THE PU IS LOCATED AT HOUSE 9 OF MUFUTUA SHOETAN LANE, DOPEMU IN AGEGE LAGOS STATE."
LA0103001,pollbooth,LA,1,6.621410284,3.3210619,6.621410284,3.3210619,"THE PU IS LOCATED AT HOUSE 5 OF OMEMEJI STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103002,pollbooth,LA,1,6.621122158,3.324049426,6.621122158,3.324049426,"THE PU IS LOCATED AT HOUSE 15 OF FAWOLE STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103003,pollbooth,LA,1,6.621021238,3.323878652,6.621021238,3.323878652,"THE PU IS LOCATED AT HOUSE 19 OF FAWOLE STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103004,pollbooth,LA,1,6.621308832,3.324444512,6.621308832,3.324444512,"THE PU IS LOCATED AT HOUSE 7 OF FAWOLE STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103005,pollbooth,LA,1,6.620818883,3.320976303,6.620818883,3.320976303,"THE PU IS LOCATED AT HOUSE 31 OF ADENIYI STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103006,pollbooth,LA,1,6.620548619,3.321041107,6.620548619,3.321041107,"THE PU IS LOCATED AT HOUSE 28/30 OF ADENIYI STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103007,pollbooth,LA,1,6.622132145,3.324493024,6.622132145,3.324493024,"THE PU IS LOCATED AT IN FRONT OF A SHOP BESIDE FIRST BANK AT 75 OLD ABEOKUTA ROAD BY AJEBORIOGBON STREET, PAPA UKU AGEGE IN LAGOS STATE."
LA0103008,pollbooth,LA,1,6.621697194,3.323453293,6.621697194,3.323453293,THE PU IS LOCATED AT HOUSE 25 OF AJEBORIOGBON STREET OFF OLD ABEOKUTA ROAD KWAKWA UKU IN AGEGE LAGOS STATE.
LA0103009,pollbooth,LA,1,6.621815354,3.323733998,6.621815354,3.323733998,"THE PU IS LOCATED AT HOUSE 15 OF AJEBORIOGBON STREET OF OLD ABEOKUTA ROAD, KWAKWA UKU IN AGEGE LAGOS STATE."
LA0103010,pollbooth,LA,1,6.621534314,3.322153339,6.621534314,3.322153339,"THE PU IS LOCATED AT HOUSE 28 OF SADIKU STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103011,pollbooth,LA,1,6.620563578,3.322528364,6.620563578,3.322528364,"THE PU IS LOCATED AT HOUSE 14 OF SADIKU STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103012,pollbooth,LA,1,6.622326463,3.323307917,6.622326463,3.323307917,"THE PU IS LOCATED AT IN FRONT OF A SHOP AT NO 11 AKERELE STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103013,pollbooth,LA,1,6.622426196,3.323340207,6.622426196,3.323340207,THE PU IS LOCATED AT HOUSE 9 OF AKERELE STREET PAPA UKU IN AGEGE LAGOS STATE.
LA0103014,pollbooth,LA,1,6.622947715,3.321834207,6.622947715,3.321834207,"THE PU IS LOCATED AT IREPODUN PRY. SCH, ALONG OLUSAYA STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103015,pollbooth,LA,1,6.618864412,3.316368548,6.618864412,3.316368548,"THE PU IS LOCATED AT HOUSE 19 OF OMODEHINDE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0103016,pollbooth,LA,1,6.618512108,3.31613119,6.618512108,3.31613119,"THE PU IS LOCATED AT IN FRONT OF F. ADEOYE MEMORIAL NURSERY/PRY. SCH, AT 25 OMODEINDE STREET, DOPEMU IN AGEGE LAGOS STATE."
LA0103017,pollbooth,LA,1,6.621091233,3.3213917,6.621091233,3.3213917,THE PU IS LOCATED AT OLUSANYA PRY. SCH AT 42 OLUSANYA STREET PAPA UKU IN AGEGE LAGOS STATE.
LA0103018,pollbooth,LA,1,6.622407401,3.321278681,6.622407401,3.321278681,"THE PU IS LOCATED AT HOUSE 15 OF FANIMOKUN STREET BY RAUFU-ALAJO STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103019,pollbooth,LA,1,6.619873091,3.321042129,6.619873091,3.321042129,"THE PU IS LOCATED AT HOUSE II OF OLADEJO STREET, PAPA UKU IN AGEGE LAGOS STATE."
LA0103020,pollbooth,LA,1,6.617818773,3.320543549,6.617818773,3.320543549,"THE PU IS LOCATED AT HOUSE 88 OF ONIWAYA ROAD, ONIWAYA IN AGEGE LAGOS STATE."
LA0103021,pollbooth,LA,1,6.618702597,3.321736213,6.618702597,3.321736213,"THE PU IS LOCATED AT IN FRONT OF MARIE CLAIRE SCHOOL AT 72 ONIWAYA ROAD, ONIWAYA IN AGEGE LAGOS STATE."
LA0103022,pollbooth,LA,1,6.618283586,3.321142922,6.618283586,3.321142922,"THE PU IS LOCATED AT IN FRONT OF HOUSE 84 WITNIN ONIWAYA GARAGE ROAD, ONIWAYA IN AGEGE LAGOS STATE."
LA0103023,pollbooth,LA,1,6.618388918,3.321027288,6.618388918,3.321027288,"THE PU IS LOCATED AT OPEN SPACE IN FRONT OF HOUSE 84 WITHIN ONIWAYA GARAGE, ONIWAYA IN AGEGE LAGOS STATE."
